"Story","Title","Result","Date","Stability","Duration (s)"
"Crossfit","The user attempts to visit Crossfit.social","SUCCESS","2016-02-27T21:05:04.865Z","0.0","26.81"
"Twitter login","The user then attempts to login with valid / invalid credentials","FAILURE","2016-02-27T21:05:42.332Z","0.0","6.54"
