"Story","Title","Result","Date","Stability","Duration (s)"
"Crossfit","The user attempts to visit Crossfit.social","SUCCESS","2016-02-27T22:14:50.245Z","0.0","26.25"
"Twitter login","The user then attempts to login with valid / invalid credentials","FAILURE","2016-02-27T22:15:28.520Z","0.0","6.85"
