"Story","Title","Result","Date","Stability","Duration (s)"
"Github","Github user searches and stars a repo.","ERROR","2016-07-27T19:42:08.503Z","0.0","46.4"
"Ibm login","IBM BlueMix current user login","ERROR","2016-07-27T19:43:46.907Z","0.0","45.31"
"Crossfit","The user attempts to visit Crossfit.social","ERROR","2016-07-27T19:43:01.637Z","0.0","45.24"
"Twitter login","The user then attempts to login with valid / invalid credentials","ERROR","2016-07-27T19:44:32.230Z","0.0","45.25"
"Google","User searches for Crossfit on Google","ERROR","2016-07-27T19:45:17.504Z","0.0","45.14"
