"Story","Title","Result","Date","Stability","Duration (s)"
"Crossfit","The user attempts to visit Crossfit.social","ERROR","2016-02-27T21:05:32.200Z","0.0","45.32"
"Twitter login","The user then attempts to login with valid / invalid credentials","ERROR","2016-02-27T21:07:02.877Z","0.0","45.13"
