"Story","Title","Result","Date","Stability","Duration (s)"
"Github login","The user finds a very good example called jbehave-social-media and clicks on it. They love it and star it!","FAILURE","2016-02-27T20:00:44.569Z","0.0","8.32"
"Google login","The user opens up the main page and searches for crossfit.social","SUCCESS","2016-02-27T20:01:05.179Z","0.0","16.54"
"Twitter login","The user then attempts to login with valid / invalid credentials","FAILURE","2016-02-27T20:01:04.996Z","0.0","0.17"
"Ibm login","so I try logging in...","SUCCESS","2016-02-27T20:00:53.170Z","0.0","11.7"
