"Story","Title","Result","Date","Stability","Duration (s)"
"Github","Github user searches and stars a repo.","FAILURE","2016-07-27T19:46:55.481Z","0.0","8.45"
"Ibm login","IBM BlueMix current user login","SUCCESS","2016-07-27T19:48:00.194Z","0.0","14.12"
"Crossfit","The user attempts to visit Crossfit.social","SUCCESS","2016-07-27T19:47:04.202Z","0.0","55.89"
"Twitter login","The user then attempts to login with valid / invalid credentials","FAILURE","2016-07-27T19:48:14.418Z","0.0","6.5"
"Google","User searches for Crossfit on Google","SUCCESS","2016-07-27T19:48:21.455Z","0.0","17.25"
