"Story","Title","Result","Date","Stability","Duration (s)"
"Crossfit","The user attempts to visit Crossfit.social","SUCCESS","2016-07-27T19:47:04.202Z","0.0","55.89"
"Twitter login","The user then attempts to login with valid / invalid credentials","FAILURE","2016-07-27T19:48:14.418Z","0.0","6.5"
