"Story","Title","Result","Date","Stability","Duration (s)"
"Crossfit","The user attempts to visit Crossfit.social","SUCCESS","2016-02-27T21:07:32.195Z","0.0","27.26"
"Twitter login","The user then attempts to login with valid / invalid credentials","FAILURE","2016-02-27T21:08:12.003Z","0.0","6.84"
