"Story","Title","Result","Date","Stability","Duration (s)"
"Ibm login","IBM BlueMix current user login","SUCCESS","2016-02-27T21:10:00.658Z","0.0","11.36"
"Crossfit","The user attempts to visit Crossfit.social","SUCCESS","2016-02-27T21:09:31.310Z","0.0","29.25"
"Google","User searches for Crossfit on Google","SUCCESS","2016-02-27T21:10:19.655Z","0.0","16.74"
